Teks,Prediksi Sentimen
gereget pas buka aplikasi loading mulubukan kali kali nya kurun beda beda sinyal penuh buka aplikasi ok doang mandiri susah nya,Negatif
lot verifikasi password login password instal ulang verifikasi,Negatif
kasih bintang kesini aplikasi transaksi mesti tulis suruh cek tanggal bagus lancar cepat baik aplikasi livin nya orang transaksi bisakarna gagal transaksi nya nya kalo aplikasi nya jelekbank nya rugi,Negatif
transaksi auto debit nya bpjskes bukti transaksi cek nota transaksi pemberitahuannya email terimakasih harap update nya,Positif
buka livin muncul updatesering kali updatemandiri layan suruh update emergency tunggu update sinyal buruk sulit lagitolong evaluasi sistem livin nya terima kasih,Negatif
update livin nya hasil upadate hapus aplikasi nya download kemarin bikin ribet nih aplikasi susah guna mandiri pas lambat bhkan tolong layan nya baik,Negatif
tolong daftar livin pas setor coba login cek salah password password pakai password template pribadi anggap salah blokir suruh ganti password nomor kartu tau nomor kartu tolong tolong,Negatif
pakai livin biru kendala pindah livin kuning nya lihat saldo muat uninstall install ulang saldo muat,Negatif
baharu livin aneh transaksi transfer pakai tunda nomor tuju nya baharu lancar transaksi transfer nyata nya pending bikin susah livin,Negatif
apk eror transaksi muncul setel atur otomatis setel otomatis muncul kayak minggu kayak tindak mandiri,Negatif
selesai transaksi layar resi diclose button kali nya ditouchtap touchscreen hp fungsi normal scroll tap lai fungsi normal,Negatif
alami pin blokir salahatm transaksi bisatp aplikasi livin transaksi bisadan blokir,Negatif
aplikasi mudah urus bikin repot bisabisanya diupdate error uninstall instal ulang bikin kesal pas bayar antri iya tunggu install ulang banyak fitur susah,Negatif
mohon maaf livin sulit transfertop up terang setting hppadahal otomatis ket coba tinggal halamanduh andal mandiri mohon baik aplikasi nya,Negatif
sial nih apk coba login ulang masuk nomor kartu laku isi tanggal lahir login tulis gagal sila coba login kali jam kemarin kemarin deh coba pas pagi siang pikir mandiri customernya senang sulit parah banding bank sesal banget sumpah,Negatif
tolong baik sistem ya kendala hubung bikin jantung kalo simpan uang transaksi hambat gilir kosong saldo tuh kendala susah akses,Negatif
aplikasi eror lancar lancar baik min bayar simpan nih uang layan jalan terima kasih,Negatif
bantu aplikasi nya suka nya catat tolong bank mandiri nasabah daftar online bank mandiri keluar buku tabung nasabah butuh buku tabung kartu hilang urus kartu atm nya hilang nasabah harap sulit layan nasabah senang nasabah rasa betapa sulit nya antri teller,Negatif
masuk kartu bank kendala saatverifikasi,Negatif
stop update memori gua penuh banget kalo update buka livin,Negatif
login tanggal ulang kali kantor cabang suruh tunggu beberpa pergi suruh tunggu niat sih bank baik aplikasi cacat,Negatif
mohon min tolong aju pinjam livin mandiri ya min data lengkap tolak tolong min kondisi butuh dana min tolong respon ya min komen terima kasih min,Negatif
daftar susah pas step bagi pilih provinsi kotakab camat lurah klik isi manual lanjut daftar henti jalan alami tolong baik,Negatif
kasih bintang kasih bintang aplikasi nya layak pakai kurang baik peribadi alami gagal masuk aplikasi hubung nasabah bank mandiri guna livin by mandiri desak cepat baik aplikasi terimakasih,Negatif
cicil kasih wajah susah,Negatif
malas enak biru transaksi nya cepat menunggumalas transaksi kali dobol tunggu menit kak jam mls buru lambat tunggu,Negatif
halo mandiri tolong respon pinjam ambil bank marketing rekening beda bank beda telat gaji langsung eror urus bank jarak kali kali keluh jalan keluar top up gilir top up sulit acc alas ktp nik sesuai kasih data dukcapil alas rekening bikin,Negatif
suruh alih biru kuning kuning menu multipayment bayar bayar shopee tokped dll deh baik gih aplikasi,Negatif
overall fiturnya bagus transfer cepat kali top up malam suruh tgg menit jam jam butuh butuh beli pulsa bayar token listrik dll,Negatif
parah ya belanja pakai qr lot nya ampun kau pikir hobby lihat tulis livin mu gara gara kau pakai atm baca bayar belanja ku kemarin aplikasi lelet rugi,Negatif
bagus ya segi transaksi apa oke punyanamun opsi menu kliksudah guna tracking kirim kartu menu pesan trackingny adaaplikasinya mudah penggunaanya,Negatif
maaf rating jujur kecewa apk livin awal pakai livin muas member voucher ribu transaksi lancar upgrade kesini mashaallah ya jelek banget transaksi gagal transaksi baru baru coba otomatis hp nya kartu nali kalo mesin atm nya livin nya ya,Positif
aplikasi buka langsung hilang lagibagaimana baik nya,Negatif
kacau januari duit aplikasi livin potong biaya adm kali biaya saldo minum biaya adm rekening potong nya gila banyak potong mending mati deh kartu nya ngabisin duit nabung noh kaya bank baca bulan embelembel,Negatif
masuk livin cek uang masuk sesuai kerjaaan tolong min,Negatif
tf tunda urgent telpon pakai pulsa habis hubung kacau update tunda layan buruk langsung hubung cs nya bot,Negatif
kalo buka livin ya hp dukung apk bug apk tolong benah min,Negatif
iki dadi nasabah e mandiri mbuletsaldo transferran kurang fffccchgvvcccccdxxx,Negatif
suka eror pas login masak gagal mulu muncul teks hasil hubung internet lancar kadang muncul teks kece sistem repot bayar buka aplikasi tergesagesa transfer tolong selesai,Negatif
susah banget log pas verifikasi wajah bolak bank mandiri kali aplikasi nya gara ganti hp hp rusak,Negatif
settingan hp kembali tampil pabrik livin diinstal ulang,Negatif
trobel enak simpan otomatis transaksi ngisi nomer rekening nya cari rekening transfer enak apk untung mohon baik ganti apk,Negatif
pusing aplikasi fasiltasnya bayar tiket kereta bayar bingung muter bagus mandiri livin biru nyaman enak sistematis ganti kuning kacau balau heran,Negatif
aneh aplikasi berat minimize bisabalik nungguinnya maintenance,Negatif
aplikasi nasabah bank produk bank bumn biaya transaksi mahal sedia jasa bayar swastaasing lelet ribet tarik tunai kartu hp lowbat data tinggal rumah alam layan baik nasabah nya efisien proses tari uang nya mudah ribet,Negatif
instal livin kuningkarena otomatis ganti mandiri biru kuningnamun hubung vitur vitur bertransaksidan logout langsung hilanghrs menginstal ulang ulangtdk tersimpanribet bagus biru pusingjadi lapor mana nih,Negatif
ganti versi kuning kendala fitur cari jalan transfer kali log out selesai transfer log out log kalo transfer kali,Negatif
kalo top up banget ganggu pesan nya cek no no ya kalo transfer simpan rekening otomatis ribet,Negatif
aplikasi hp reno f android buka rekening lupa password reset password info os hp dukung,Negatif
serah costumer pakai logo biru kuningmana update kuning ribet kali langsung smartphoneudah ngulang kali gagal suruh atm call centerkalau update mudah susah update pakai lamajangan ribet mandiri kelas bank besarkita ribet kadang cari atm banyak rusak mohon perhati terima kasih,Negatif
aplikasi bagus ringan tolong tong tarik tunai nya ganti kelipatam bayar virtual bikin simple masuk kode bayar sistem cari biller cocok kode bayar kaya simple deh moga dengar realisasi thanks,Negatif
notifsettingan handphonepadahal settingan auto,Negatif
livin pakai wifi pakai data hp dual sim pakai internet sim login beda baca mobile kartu taruh sim transaksi pakai wifi internet sim,Negatif
bayar angsur suruh aktif atur otomatis tanggal waktuudah disetting otomatis gabisaini sih kayak kemarenmalah sulit,Negatif
mohon livin by mandiri tanggal desember top up paket data indosat via livin by mandiri saldo livin potong paket data masuk email cs mandiri respon mohon tindak,Negatif
masuk apk tulis hasil hubung pakai wifi jaring kecewa banget sih mandiri mobile banking aman aman kayak pro,Negatif
lancartapi buka kalo buka muncul hubung uninstal instal kali kali kecewa,Negatif
login ya baca layan coba kali,Negatif
layananya masalahtapikenapa susah buka aplikasi mandiri mobile inisetiap klik login masuksetelah coba kali kali kadang bisabagaimana urgentagak menyulitkanmohon bantu,Negatif
tinggal masuk pin kartu muncul teks pasti kartu blokir pakai aplikasi livin ukur aplikasi kecil mudah pakenya aplikasi livin kuning benah,Negatif
sorry ya kesini livin menyusahkanharusnya fungsi mbanking mudah transaksi ya saat butuh bayar suruh atur atur jam otomatis livin mindahin saldo rek uang sulit min tolong baik nya deh nyerah livin pindah saldo nya sulit,Negatif
laku verifikasi wajah tera hasil hubung kece hubung sila maksud hp rusak muka deteksi livin nya masalah capek bawa kantor bank mandiri solusi ya rekening bank livin,Negatif
tolong baik login capek kode otp deteksi wajah,Negatif
notifikasi pas update nimbul transfer masuk malag hilang muncul notif nya tolong baik notifnya notif butuh,Negatif
top up shopee pay tolong llo lengkap publish apl nya kalo bangking bayar apa atm reply terima kasih coba nya coba terima kasih respon bantu nya,Negatif
aplikasi nya bagus suka eror ya kadang buka sinyal bagus,Negatif
sesal hapus livin biru ganti livin kuning masuk cek saldo susaaaaaah baru bagus nyaman rese kayak susah cek orang transfer lihat rating keluh aduh tolong baik kayak livin biru lancar masalah,Negatif
bug server error aplikasi matang rilis coba paksa luncur alam guna kecewa nasabah bank mandiri,Negatif
selesai update versi baru aplikasi buka muncul logo langsung mentalforce close posisi android mohon baik terima kasih,Negatif
kah ribet atm verifikasi kode livin nasabah akses atm dalam tolong perhati terima kasih,Negatif
bayar qris livin livin nya eror terang transfer gagal coba coba tiga hasil kecewa tiga nya hasil uang hilang toko masuk kali tiga mana uang,Negatif
rekening gampangtransaksi gampang,Negatif
lamalama jelek banget malam tarik uang koneksi coba reset ulang eh fitrunya banyak dsn bikin lot,Negatif
mohon maaf jujur kecewa ku uninstal lalj install lagisekali buka sebentar pas masuk mentalbukanya bantu app livin kalo pas mental mental buka app livin yaknpatolong baik pakbu serius keluh app livin error susah kalo buka app livin kebukadulu nyaman parah error,Negatif
samsung a install livin,Negatif
bantu praktis cepat,Negatif
aplikasi buka susah buka aplikasi bank mobile langsung masuk transaksi aplikasi dibukabuka baik aplikasi buka force close terus,Negatif
hai kakaplikasi sengaja terhapusdownload diinput no atm berlakutanggal lahir kode konfirmasi via smstidak bisaapakah solusi kekantorthanks,Positif
transaksi gagal coba hubungin cs respon tolong kelas bank bumn kerja baik keluh mohon tanggap cari solusi,Negatif
sih livin topup ewallet susah banget dana nomor temu satu nomer nomer jawab tolong baharu topup susah,Negatif
aduh pakai masuk data salah teblokir coba masuk sesuai nomor kartu ttl bisabisanya bilang salah belanja onlen nih,Negatif
transaksi bulan januari notifikasi saldo masuk potong mohon baik,Negatif
instal logo kuning masuk nomor kartu debit verifikasi sms verifikasi nyata hasil masuk pin tulis hasil hubung coba tutup gagal pulsa potong coba kali kali tolong sulit nasabah logo biru pakai,Negatif
pakai aplikasi bulansekarang hp mendukungsebelumnya sajasudah telepon uninstall app sajacc suruh coba pakai hp lainparah solusinyamending pakai sajaribet,Negatif
livin by mandiri errorsaya transfer aplikasi terputusktnya aplikasi diretasdicoba log bisaditanya mandiri reinstallklu aplikasi masalah reinstall ya tau beda nya aplikasi livin by mandiri new livin gold initolong aplikasi mandiri nya perbaikismg aman uang simpan bank,Negatif
off line nya lamamasak jam off line trspayaaahh,Negatif
min update apknya ribet transfer gagal masuk pin angka muncul coba kali kali buka tutup apknya,Negatif
mohon bantu ya ya transaksi pink blokir kadaluarsa aktif ya aktif livin bank dekat,Negatif
aplikasi matang transaksi aplikasi alami via qris transaksi laku alami tunda uang kembali saldo detik lapor cabang dekat,Negatif
registrasi ulang ribet transfer logout registrasi ulang kali transfer top up lo limit nya transfer jthari aman aman,Negatif
aplikasi error baru buruk sih lot banget terang antri kalo bank langsung bikin ribet transaksi apa tolong baik susah orang kalo harap pengin simple ribet,Negatif
transfer notif cek tanggal sesuai sistem,Negatif
terima kasih hadir aplikasi transaksi uang bisnis lancar fitur mudah paham norek rekan bisnis simpan ribet kalo transfer,Negatif
parah nih livin top up dana history nya lanjut alas nomor temu coba ulang rekening banking nya muncul aktif kecewa rekening gaji malas pakai mandiri,Negatif
saran sih buat livin versi lite makan space memori beban user kalo update susah user kapasitas simpan batas hapus aplikasi orang bisnis cek saldo transfer update melulu makan memory mesti pakai manual pakai aplikasi kali ya,Negatif
kali coba login akun masuk error fitur tersediaa error jaring aman lancar kantor cabang tunggu minggu kunjung masuk kali kantor cabang masuk,Negatif
ubah kah komplain negatif verifikasi wajah masyaallah subhanallah susah nya ampun arah kirim email call center aplikasi mudah nasabah zaman digital sulit hati sulit lamalama nasabah pergi emosi banget,Negatif
login top up pakai apk pakai kuota no daftar susah kalo mepet wifi transaksi customer service responsif chat dibales kali buka rekening simple biar bolak bank sulit mbanking nya,Negatif
ganti warna kuning gagal pas proses verifikasi sms kali kali coba instal ulang verifikasi nya lambat tolak terusapk nya kirim ulang sayang habis pulsa kirim verifikasi gagal,Negatif
blok support sistem parah android pie masak minimal android,Negatif
mudah update ya,Positif
bisamasalah kode otp masuk sms buka layan sedia,Negatif
lot jaring bagus tolong up bagus ringan,Negatif
kalo kerja pakai mandiri aplikasi update ganggu berat guna masuk loadingnya bilang banding apk bank moga depan,Negatif
bagus tolong apk troble atm ninggal mau ambil bersih ninggal ribu atm pentingpadahal kartu silveruntuk tf isi pulsa serta paket nominal tulis sesuai nominal rendah ribu trimakasih moga baik ulas dasar saran keluh golong moga baik ringan,Negatif
asli asa ribet ya save no rek tf plus gaptek ajar teknologi sulit apk gampang pakenya,Negatif
jjr ya nyaman banget pakai livin aplikasiny bingun potong buat kartu pegawai bilang silver potong jalan potong saldo potong biaya administrasi kartu debit kali potong biaya administrasi rekening total potonganx kalo isi rekening paspasan repot,Negatif
kali daftar akun pas verifikasi sms gagal buka suruh update pas update muter n error jaring internet nya bagus kalo aplikasi nya bagus suruh pindah deh mending coba krywn mandiri nya kalo okga masalah share nasabahliat komen kasih bintang kalo asih bintang pindah aplikasi inisaya isi pulsa ribu langsung habis lo,Negatif
gagal transaksi riwayat hasil tf saldo potong terima terima uang masuksudah uang refund mandiri bank mandiri bilang suruh tunggu kerja bulan selesai prosesmau tunggu uang kembali,Negatif
puji tuhan kirim pesan email livin atur tanggal otomatis sesuai tunjuk livin langsung transaksi trimakasih responnya cepat moga depan bagus kecewa tdinya kalih transaksi,Negatif
aplikasi bergunadan bantu urus transfer urusancman kurang nya orang transfer duit kitakok notifikasi nya masuk,Negatif
aplikasi update ribet nih ambil wajah ulang ulang indak tolong baik aplikasi,Negatif
tolong verifikasi sulit bikin pin pasword verifikasi wajah sulit bikin apk masuk akal gantung robot instal daftar kali verifikasi,Negatif
buka aplikasi restart hp dulumau kali kali buka restart memory hp kosong sinyal bagus ngaruhparah aplikasi livinby mandiri,Negatif
log ya,Positif
lot aplikasi aplikasi bank bcakalo baca buka langsung kasih pin langsung pilih tinggal cek saldo tinggal repotini muternya menit,Negatif
playstore baca data baru perangkat tunjuk aplikasi henti fungsi perangkat maksud sih pakai teh eror app nya masuk hasil hubung benerin please banyak eventnyaa benerin aplikasi biar sering eror guna nyaman hadir app waswas terimakasih kendala baik,Negatif
aplikasi buka sinyal bagus quota transaksi kalo masuk aplikasi parah,Negatif
bagus masuk kalo sim card beda nomer daftar coba masuk android root masuk apk masuk tambah tool sembunyi setatus root suka fitur finger print promopromo,Negatif
password livin password salah terus mohon depan baik,Negatif
log livin nya metode metode log insidik jari kalo jari putus gmngk log kasih metode sidik jari deteksi wajah log username password mohon timbang mohon update supayajika salah menggunakaan log pakai jari rusa cela tangan bingung log tunggu bijak buat aplikasi,Negatif
nih apk ya baik nya banget,Positif
biaya tambah ribu kali sandi benarr salah pencet lupa password,Negatif
kesini susah transfer dll verifikasi sms error suruh coba ulang pulsa habis cuman kirim verifikasi maaf susah logo biru,Negatif
tolong tambah menu hapus transfer cari rekomendasi hapus daftar nomer rekening daftar transfer klik tahan geser hapus nya kalo salah kirim uang tolong dengar,Negatif
mantap fitur lengkap,Positif
banking lambat livin mandiri livin mandiri tingkat buruk,Negatif
riweh banget buka rekening isi data lengkap ujung ujung nya verifikasi suruh cabang dekat woi gua bikin online cabang sekian bank digital mandiri notif verifikasi data aneh,Negatif
aplikasi malu bikin ribet puluh kali kirim sms verifikasi kirim biaya bayar sms siap ya kirim saran bank mandiri mending bikin aplikasi transper butuh nyaman biar jalan n rumah aplikasi guna download,Negatif
mudah min bantu upgrade saldo sembunyikanmrnu utama dah sembunyi pakai gambar mata transfer notif layar blmsoalnya trasfer isi saldo kawan kepomasih pripasi tunggu ya next apdetenyasebunyikan isi saldo pengin lihat klik ganbar mata tq,Negatif
kecewa top up emoney lapor email saldo kembali lapor bank uang kembali syarat emoney tahan ganti uang rugi,Negatif
kapok pakai livin mmbatu mmpersulit tf gagal apk nya hancur dgunakan jam malam,Negatif
kendala bayar va lihat pas update coba diupdate ubah coba reinstal pas isi data kirim otp akhir sistem ganggu deh lihat review orang bulan error,Negatif
gue login lapor kcp dekat layan bapuk urus login nyangkut butuh pengin pindah bank telanjur nyemplung,Negatif
bagus bagus aplikasi telepon call center bebas pulsa bank abc telpon pakai paket data pulsa barusan kali telpon call center tekan menu bicara operator kartu kredit kali nya tunggu menit dengar lagu angkat khawatir pulsa habis moga depan mandiri,Negatif
livin mandiri error deteksi perangkat bagi layar hp flash nol stelan pabrik deteksi bagi layar mohon livin ecek takut aplikasi cocok hp,Negatif
update livin buruk orang peduli tampil ui keren pakai error transaksi bikin dongkol transaksi ewallet hubung ewallet transaksi,Negatif
aplikasi bantu top up transfer biaya update mohon bantu biar diupdate bulan,Negatif
beda banget livin biru lot parah pakai data kencang login gagal hasil buka buka loading gagal kecewa livin biru kecewa cepat,Negatif
aplikasi error mulu susah akses top up hambat pliss baik,Negatif
maaf mudah livin biru upgrade livin transaksi apa mudah susah contoh bayar spinjam spinjam jual,Negatif
muas aplikasi inilayanan cepatdan efektiftdk makan lamaterimakasih layanansukses living by mandiri,Negatif
bagus mohon tingkat fiturnya mudah guna dana emergency dana cicildan terimakasih,Negatif
senang banget kenal aplikasi bayar ukt ribet antri pokok aplikasi bayar ukt mudah banget,Negatif
aplikasi alami eror transaksi atur jam otomatis otomatis update fine mhon baik bug sistem,Negatif
tolong baik livinnya hp redmi sih buka livin situ tulis handphone sistem operasi resmi hp beli indonesia xiaomi redmi sih rakit indonesia minta proses sila hubung mandiri call,Negatif
buka app nya getar samsung a blnj coba bugnya baik,Negatif
tanggal malam transaksi via livin bsknya pas transaksi muncul warning jaga aman akun aktivitas isi pasti hp aplikasi kenal mati fitur bagi layar share screen kontrol hp jarak blablabla coba uninstall n ulang sebb warning langsung tutup aplikasi otomatis solusi ya,Negatif
alam buruk mending versi apknya stabil habis update v login klik login force closeaplikasi livin henti mending benah deh versi apknya android kemarin nasabah kecewa usaha bumn aplikasi rewel,Negatif
livin mandiri buka rekening wira swasta pinjem uang garong uang negara isi data nama usaha email nomor telepon kantor apa seru verivikasi wajah selesai pagi jadijadi baikbaiknya,Negatif
kecewa fitur nyaman biruterutama fitur ya data akumulasi saldo bulan tanggal living biru fitur suka kontrol uang aman log id pasword living biru living gold pasword aplikasi nyaman aman mengakomodir butuh nasabah,Negatif
livin fitur berat pas pertamakali buka aplikasi aplikasi simple mudah transaksi bayar,Negatif
aplikasi bantu suruh update logo biru ganti kuning pas update jaring cs bank bantu suruh uninstal birustelah maaf jaring sbelumnya suruh uninstal kalo tau masalah tolong baik sistem sda layan ajar sabar hadap cust,Negatif
aplikasi ribet pilih menu aplikasi bikin bingung mudah aplikasi menu transfer jenis bayar ribet pokok kali bulak pilih menu bayar mudah baharu bad,Negatif
masuk login deh uninstall kali nlpn cs kali login server buruk kalo bintang bawah kasih deh bikin kecewa customer kalo bikin aplikasi ready maintenance langsung baik aplikasi buruk,Negatif
review senang coba livin kuning ingat ulang ulang ganti biru coba kendala lancarada fitur lumayan bagus informasi suku bunga deposito ya livin kuning,Negatif
aplikasi mudah livin kuning payah update kayak keongsudah minggu transaksi odahal saat bank ttup andal aplikasi transaksi,Negatif
kesini aplikasi sempurna tf susah rekening temu no rekening bank tuju moga baik,Negatif
usah aplikasi eror mulu update aplikasi bagus tamba rusak masuk muncul eror pesan lindung hp coba usah layan baik nasabanya orang elu ubah exen usah kecewah nasaba,Negatif
ya kalo tulis password pindah pin klik pinbukan jaring kode password jaring kencang password terima,Negatif
aplikasi livin pikir mudah pakai perlu dadak ehhhh nyusain buka livin tulis update pas klik update play store,Negatif
duit potong terang potong hilang duit keteranganya aneh,Negatif
transaksi simple mudah lihat mutasi pokok keren apk tahan moga tingkat,Negatif
aplikasi nya aco kemarin transfer report nya hasil rekening terima masuk potong saldony report cs suruh tunggu aneh big bank aplikasi nya aco kali kayak kapai ganti aplikasi kalo aco kayak aneh,Negatif
notif auto debit tanggal tanggal debit notif nominal tahan saldo gue auto debit nominal tahan nya mana mandiri semenamena pegang komitmen system gue pakai mandiri tahun tolong ya asumsi gue liar perihal lawak banget sih,Negatif
log out pasuk password gagal suruh reset ulang kirim sms verivikasi lot balesannya gagal kecewa sih sangka ganti aplikasi bagus errornya,Negatif
aplikasi livin pusing transaksi suruh atur jam otomatis sesuai otomatislapor mandiri call lapor mandiri callpayah pulsa habis telepon mandiri calltolong baik sistem biar rugi custemer,Negatif
aplikasi bagus banget aplikasi cepat aplikasi mudah buka rekening gampang tampil tarik tarik tunai kartu top up i wallet mudah top up i money cepat fiturnya lengkap apk intip saldo tahu lihat saldo ewallet halaman bayar beli cepat bayar ukt antri repot kantor cabang hellful banget apknya cra maka rbet,Negatif
aplikasi transaksi update,Positif
kecewa banget livin mandiri copot aplikasi harap aplikasi mudah verifikasi habis pulsa kirim sms premium kali nyedot pulsanyabelum verifikasi wajahudah foto berkalikali hubung ulang ngisi data sms pulsa habis benarbenar jengkel,Negatif
susah login tunggu login diupdate susah mandiri bikin susah ya tolong mandiri ajar bni lancar mobil banking bni hp,Negatif
lumayan bagus kurang error transaksi topup via ewallet dll pokok sempurna terimakasih,Negatif
aplikasi update terustapi login biometrik bisalama maklumimakin kesini transaksi apa jugacoba hari bantu call center suruh setting tanggal otomatis suruh coba lahpadahal bilang coba kali call center bantu bsi cacatmasa ikut,Negatif
mandiri tolong kualitas layan tingkat karti debit blokir salah pin kali betul mandiri call menit hubung staff habishabisin pulsa tok,Negatif
livin ya buka aplikasi warning jaga aman akun data pribadi close buka,Negatif
ulas komplain ganti kuning kerasan birusimple akses sesuai butuh mudah sulit bank fitur mudah pakai bank biru kuning tinggal nasabah nya layan muas zaman digital,Negatif
aplikasi update kadang suka buka mohon baik kalo perlu cepat transfer aplikasi kadang buka,Negatif
hapus daftar transfer gagal hubung norek numpuk daftar,Negatif
jadwal pelihara rutin ganggu malam wib ganggu butuh transaksi malam tolong singkat terimakasih,Negatif
banget errorpadahal pas buru trasaksi buka bisasekarang nyaman memuaskansangat nyaman mnggunakan livin sekarangmalah parah error,Negatif
pakai livin biru alih livin kuning notifikasi livin biru close ragu baca complain pakai livin kuning mudah bantu pakai hp android lumayan jadulbukan baru moga livin kuning jaga kualitas nya,Negatif
tolong aplikasi baik ya pelihara rutin livin akses sistem operasi handphone dukung guna livin aman sistem operasi resmi heran handphone lengkap antivirus advast pro root handphone kayak ya kemarinkemarin aman pelihara akhirakhir error tolong baik apknya,Negatif
sekitar minggu transaksi livin by mandiri buka livin by mandiri tulis hasil hubung ecek silah coba ya sayang coba hapus cachedi update unistal instal pakai data kartu sim no nya daftar akun livny buka jaring bagus coba pakai wifi mohon bantu terimakasih,Negatif
uninstall aplikasi skrngsoalnya promo pinjam serbaguna kali coba aju pijaman banyaktapi tolak,Negatif
aplikasi ribet ngelag berat mudah user riber bagus versi akses transfer tunda buang duit mending ganti bank usaha transfer butuh akses pakai livin,Negatif
jelek tolong baik susah transaksi,Negatif
livin kuning errormau transaksi tulis transaksi proses sila ulang transaksi ulang versi eror nya bagus livin biru kecewa banget layan livin kuning,Negatif
livin kuning normal apa transaksi bagus aplikasi menu emoney kalo saldo tampil terimakasih,Negatif
kecewa ribu habis cuman kirim pesan aktifin mbanking doang kirim pesan konvirmasi balas nya telat aplikasinuya ulang suruh kirim pesan ulang tungguin balas konvirm nya gagal konyol tolong dperbaikin bikin emosi,Negatif
verifikasi muka nya bermasalahpake wifi susahdisurih berkedipudah kedip puluh kali gagal,Negatif
ganggu malam ganggu pakai mobile banking problem ganggu livin nyaman,Negatif
login buka muncul cek atur jam handphone atur otomatis manual muncul tolong baik minimal keluh baca ya terima kasih,Negatif
aplikasi crash buka hp android uninstall reinstall clear cache clear disk kirim email telepon cs bantu jadi baik,Negatif
aplikasi ribet susah masuk nya share screen ribet deh,Negatif
registrasi aplikasi verifikasi gagal hubung coba pulsa paket data sedia verifikasi bank mandiri nya solusi tanggap kecewa layan terima,Negatif
sih mandiri kakak susah orang buka mbanking tau buka tulis login coba ininstal instal verif wajah sih duh suruh kedip dah kedip btas foto habis nih livin,Negatif
lot banget sih pakai kuning kemarin pakai logo biru aman lancar jaya update baik jelek tolong baik kalo pindah bank lainterima kasih,Negatif
mudah ribet sih guna moga depan,Negatif
kuning updatean biru gampang biru verifikasi password kali gagal pulsa sms potong walah,Negatif
aplikasi mental tanggal gantung banget livin mudah transaksi apa aplikasi nya error akses aktivitas ganggu tolong mandiri baik aplikasi,Negatif
ya update simpan kosong data lancar,Negatif
